number, created_at, updated_at, closed_at
26759, 2023-05-02T13:23:54Z, 2023-05-02T13:24:08Z, 2023-05-02T13:24:08Z
26758, 2023-05-02T12:21:37Z, 2023-05-19T09:09:07Z, None
26756, 2023-05-02T03:53:41Z, 2023-05-04T08:05:50Z, 2023-05-03T16:27:41Z
26723, 2023-04-25T04:16:47Z, 2023-04-25T16:06:31Z, 2023-04-25T04:17:01Z
26709, 2023-04-24T07:00:55Z, 2023-04-24T17:14:38Z, 2023-04-24T16:56:08Z
26697, 2023-04-21T21:27:01Z, 2023-05-22T12:02:49Z, 2023-04-25T20:56:46Z
26670, 2023-04-19T09:57:00Z, 2024-04-06T20:26:04Z, None
26612, 2023-04-12T17:25:07Z, 2023-07-24T11:42:06Z, None
26565, 2023-04-07T09:03:43Z, 2023-04-07T09:03:58Z, 2023-04-07T09:03:58Z
26556, 2023-04-05T14:03:28Z, 2023-04-05T14:03:44Z, 2023-04-05T14:03:44Z
26548, 2023-04-04T12:09:08Z, 2023-04-13T06:48:24Z, 2023-04-13T06:48:24Z
26500, 2023-03-28T19:02:59Z, 2023-04-12T15:12:06Z, 2023-04-12T15:12:06Z
26465, 2023-03-23T07:36:11Z, 2024-03-26T15:03:39Z, None
26462, 2023-03-22T18:12:35Z, 2023-03-28T20:47:28Z, 2023-03-28T20:47:28Z
26417, 2023-03-17T16:54:47Z, 2023-03-17T16:55:01Z, 2023-03-17T16:55:01Z
26386, 2023-03-14T19:55:26Z, 2023-03-14T19:55:44Z, 2023-03-14T19:55:44Z
26385, 2023-03-14T14:03:16Z, 2023-04-02T22:48:30Z, 2023-04-02T22:48:30Z
26340, 2023-03-08T13:15:00Z, 2023-05-23T15:32:59Z, None
26295, 2023-03-03T19:05:34Z, 2023-04-16T09:49:55Z, 2023-04-16T09:49:52Z
26226, 2023-02-24T04:32:07Z, 2023-03-16T01:10:54Z, 2023-03-16T01:10:54Z
26221, 2023-02-23T04:42:56Z, 2023-02-24T15:31:48Z, 2023-02-24T15:31:47Z
26178, 2023-02-16T13:31:28Z, 2023-02-16T13:31:43Z, 2023-02-16T13:31:43Z
26149, 2023-02-10T17:36:03Z, 2023-06-25T02:52:35Z, 2023-02-24T03:07:00Z
26128, 2023-02-08T15:00:05Z, 2023-02-09T12:35:26Z, 2023-02-09T12:35:25Z
26102, 2023-02-03T16:17:32Z, 2023-02-08T21:08:57Z, 2023-02-08T16:31:58Z
26095, 2023-02-02T08:53:46Z, 2023-05-12T21:18:05Z, 2023-05-12T21:18:05Z
26077, 2023-01-30T03:38:53Z, 2023-01-30T05:23:10Z, 2023-01-30T05:23:09Z
26052, 2023-01-26T04:46:27Z, 2023-05-17T19:34:02Z, None
26051, 2023-01-26T00:43:30Z, 2023-01-28T16:19:34Z, 2023-01-27T20:35:08Z
26045, 2023-01-25T11:39:56Z, 2023-04-09T08:07:36Z, 2023-04-09T08:07:35Z
26042, 2023-01-25T07:31:53Z, 2023-03-01T20:15:14Z, 2023-03-01T20:15:13Z
26024, 2023-01-19T23:00:02Z, 2023-01-23T17:52:13Z, 2023-01-23T17:52:12Z
26022, 2023-01-19T15:35:41Z, 2023-04-20T20:17:55Z, None
26009, 2023-01-17T12:36:08Z, 2023-03-18T07:12:19Z, None
25986, 2023-01-11T16:52:42Z, 2023-01-11T16:52:58Z, 2023-01-11T16:52:58Z
25964, 2023-01-05T08:46:14Z, 2023-02-24T20:06:29Z, 2023-02-24T20:06:29Z
25950, 2022-12-30T16:55:49Z, 2022-12-30T16:57:21Z, 2022-12-30T16:56:03Z
25928, 2022-12-23T10:05:15Z, 2023-02-06T09:18:34Z, None
25897, 2022-12-16T16:09:56Z, 2023-01-16T10:52:09Z, 2023-01-11T22:13:13Z
25886, 2022-12-15T02:09:43Z, 2023-08-18T19:55:28Z, None
25884, 2022-12-14T15:57:37Z, 2024-04-05T19:04:25Z, None
25882, 2022-12-13T21:44:57Z, 2022-12-13T21:44:57Z, None
25879, 2022-12-13T11:39:55Z, 2023-10-15T17:47:52Z, 2023-03-10T16:25:44Z
25874, 2022-12-12T11:58:23Z, 2024-05-06T14:32:27Z, None
25872, 2022-12-11T20:37:37Z, 2023-02-02T07:39:57Z, 2023-01-19T01:30:00Z
25870, 2022-12-11T00:02:00Z, 2022-12-11T00:02:14Z, 2022-12-11T00:02:14Z
25858, 2022-12-09T00:22:26Z, 2022-12-09T00:22:40Z, 2022-12-09T00:22:40Z
25843, 2022-12-07T13:16:17Z, 2024-02-19T14:33:11Z, None
25833, 2022-12-06T22:06:00Z, 2022-12-08T15:07:39Z, None
25819, 2022-12-06T11:31:26Z, 2022-12-06T11:31:55Z, 2022-12-06T11:31:55Z
25813, 2022-12-06T00:35:54Z, 2023-02-24T03:48:47Z, 2023-02-24T03:48:46Z
25808, 2022-12-05T15:47:21Z, 2022-12-05T15:47:37Z, 2022-12-05T15:47:37Z
25807, 2022-12-05T11:14:05Z, 2022-12-05T11:14:19Z, 2022-12-05T11:14:19Z
25806, 2022-12-05T10:48:01Z, 2023-03-03T19:07:12Z, 2023-03-03T19:07:12Z
25804, 2022-12-05T07:33:55Z, 2022-12-07T21:32:59Z, 2022-12-07T21:32:59Z
25800, 2022-12-04T16:36:01Z, 2022-12-04T16:36:16Z, 2022-12-04T16:36:16Z
25799, 2022-12-04T14:37:52Z, 2022-12-04T14:38:07Z, 2022-12-04T14:38:07Z
25797, 2022-12-04T06:45:46Z, 2022-12-07T21:33:13Z, 2022-12-07T21:33:12Z
25796, 2022-12-04T04:50:33Z, 2022-12-04T04:50:48Z, 2022-12-04T04:50:48Z
25792, 2022-12-02T23:53:37Z, 2022-12-02T23:53:51Z, 2022-12-02T23:53:51Z
25785, 2022-12-02T11:52:24Z, 2022-12-07T21:33:22Z, 2022-12-07T21:33:22Z
25784, 2022-12-02T09:38:22Z, 2022-12-02T09:38:35Z, 2022-12-02T09:38:35Z
25769, 2022-12-01T18:35:20Z, 2022-12-07T14:46:59Z, 2022-12-07T14:46:59Z
25766, 2022-12-01T15:31:57Z, 2022-12-01T15:32:14Z, 2022-12-01T15:32:14Z
25761, 2022-12-01T05:41:21Z, 2022-12-01T05:41:36Z, 2022-12-01T05:41:36Z
25759, 2022-12-01T04:52:51Z, 2022-12-01T04:53:06Z, 2022-12-01T04:53:06Z
25755, 2022-12-01T01:49:52Z, 2022-12-08T01:11:33Z, 2022-12-08T01:11:33Z
25733, 2022-11-23T19:42:45Z, 2022-11-23T19:45:34Z, None
25719, 2022-11-21T16:13:39Z, 2022-11-21T16:44:41Z, None
25667, 2022-11-11T12:15:45Z, 2023-03-08T03:31:56Z, 2023-03-08T03:31:56Z
25613, 2022-11-02T15:46:40Z, 2022-11-02T15:46:52Z, 2022-11-02T15:46:52Z
25564, 2022-10-25T19:39:07Z, 2022-10-31T08:42:48Z, None
25497, 2022-10-17T08:20:47Z, 2022-10-17T08:21:02Z, 2022-10-17T08:21:02Z
25487, 2022-10-16T08:35:57Z, 2022-12-07T21:39:18Z, 2022-12-07T21:39:18Z
25447, 2022-10-07T20:28:41Z, 2024-04-12T14:58:48Z, None
25439, 2022-10-06T05:33:48Z, 2022-10-06T05:34:02Z, 2022-10-06T05:34:02Z
25427, 2022-10-05T09:00:01Z, 2023-03-16T03:42:24Z, None
25415, 2022-10-04T15:31:21Z, 2024-04-16T22:52:43Z, None
25367, 2022-09-30T15:42:26Z, 2023-02-06T15:55:08Z, None
25262, 2022-09-14T07:38:20Z, 2024-06-27T13:23:54Z, None
25234, 2022-09-11T10:20:47Z, 2022-10-20T22:39:06Z, 2022-09-13T18:24:58Z
25228, 2022-09-09T22:42:43Z, 2022-09-14T17:51:44Z, 2022-09-14T17:51:43Z
25195, 2022-09-06T20:59:52Z, 2022-09-06T21:00:06Z, 2022-09-06T21:00:06Z
25187, 2022-09-05T03:06:52Z, 2022-09-07T17:21:31Z, 2022-09-07T17:21:31Z
25180, 2022-09-03T02:10:05Z, 2022-09-09T20:22:46Z, 2022-09-09T20:22:35Z
25178, 2022-09-02T21:14:12Z, 2023-04-25T15:56:22Z, None
25149, 2022-08-27T04:07:01Z, 2023-02-06T18:29:54Z, None
25129, 2022-08-23T10:14:02Z, 2023-02-24T07:07:24Z, 2023-02-24T07:07:24Z
25090, 2022-08-12T09:17:28Z, 2022-08-12T09:17:43Z, 2022-08-12T09:17:43Z
25081, 2022-08-11T13:08:10Z, 2022-08-17T21:11:20Z, 2022-08-17T21:11:20Z
25062, 2022-08-08T08:11:43Z, 2022-09-06T23:07:34Z, 2022-09-06T23:07:34Z
25038, 2022-08-04T06:35:26Z, 2024-04-03T12:30:13Z, None
